Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,2019,M01,2019 Jan,260.122
CUUR0000SA0L1E,2019,M02,2019 Feb,261.114
CUUR0000SA0L1E,2019,M03,2019 Mar,261.836
CUUR0000SA0L1E,2019,M04,2019 Apr,262.332
CUUR0000SA0L1E,2019,M05,2019 May,262.590
CUUR0000SA0L1E,2019,M06,2019 Jun,263.177
CUUR0000SA0L1E,2019,M07,2019 Jul,263.566
CUUR0000SA0L1E,2019,M08,2019 Aug,264.169
CUUR0000SA0L1E,2019,M09,2019 Sep,264.522
CUUR0000SA0L1E,2019,M10,2019 Oct,265.059
CUUR0000SA0L1E,2019,M11,2019 Nov,265.108
CUUR0000SA0L1E,2019,M12,2019 Dec,264.935
CUUR0000SA0L1E,2020,M01,2020 Jan,266.004
CUUR0000SA0L1E,2020,M02,2020 Feb,267.268
CUUR0000SA0L1E,2020,M03,2020 Mar,267.312
CUUR0000SA0L1E,2020,M04,2020 Apr,266.089
CUUR0000SA0L1E,2020,M05,2020 May,265.799
CUUR0000SA0L1E,2020,M06,2020 Jun,266.302
CUUR0000SA0L1E,2020,M07,2020 Jul,267.703
CUUR0000SA0L1E,2020,M08,2020 Aug,268.756
CUUR0000SA0L1E,2020,M09,2020 Sep,269.054
CUUR0000SA0L1E,2020,M10,2020 Oct,269.328
CUUR0000SA0L1E,2020,M11,2020 Nov,269.473
CUUR0000SA0L1E,2020,M12,2020 Dec,269.226
CUUR0000SA0L1E,2021,M01,2021 Jan,269.755
