DATE,LNU04032231,LNU04032232,LNU04032233,LNU04032238,LNU04032241,LNU04035109
2019-12-01,5.0,2.7,2.5,2.3,5.0,9.6
2020-01-01,5.4,3.4,3.2,2.5,5.9,12.5
2020-02-01,5.5,3.9,3.6,1.7,5.7,11.0
2020-03-01,6.9,4.1,3.5,2.2,8.1,8.3
2020-04-01,16.6,13.2,15.1,5.4,39.3,9.6
2020-05-01,12.7,11.6,13.1,5.7,35.9,6.5
2020-06-01,10.1,9.1,9.2,5.1,28.9,5.4
2020-07-01,8.9,8.6,8.4,4.7,25.0,5.7
2020-08-01,7.6,6.7,6.5,4.2,21.3,5.6
2020-09-01,7.1,6.2,5.7,4.4,19.0,5.0
2020-10-01,6.8,5.2,4.6,3.8,16.3,6.3
2020-11-01,7.3,4.7,4.3,3.5,15.0,8.4
2020-12-01,9.6,4.3,3.5,3.1,16.7,11.0
2021-01-01,9.4,4.7,4.2,3.4,15.9,9.4
